Site,Plot,Oak,SF_biomass,Shrub,herbaceous,Lg_diam_WF,Litter_1h,PC_Density_m3,cHull_vol,Alpha_Vol_m3,horizontalRumpel,mean_vox_ht,sd_vox_ht,zmax,zmean,zsd,zskew,zkurt,pzabovezmean,zq5,zq10,zq15,zq20,zq25,zq30,zq35,zq40,zq45,zq50,zq55,zq60,zq65,zq70,zq75,zq80,zq85,zq90,zq95,zpcum1,zpcum2,zpcum3,zpcum4,zpcum5,zpcum6,zpcum7,zpcum8,zpcum9,itot,imax,imean,isd,iskew,ikurt,ipground,ipcumzq10,ipcumzq30,ipcumzq50,ipcumzq70,ipcumzq90,pground,n,area,Percent.Below.10th.Quantile,Percent.Below.20th.Quantile,Percent.Below.30th.Quantile,Percent.Below.40th.Quantile,Percent.Below.50th.Quantile,Percent.Below.60th.Quantile,Percent.Below.70th.Quantile,Percent.Below.80th.Quantile,Percent.Below.90th.Quantile,X100th.Percent.Quantile,PC_Strata_0.00.0.25,PC_Strata_0.25.0.50,PC_Strata_0.50.1.00,PC_Strata_1.00.2.00,lad_min,lad_max,lad_mean,lad_sum,vn,vFRall,vFRcanopy,vzrumple,vzsd,vzcv,OpenGapSpace,Euphotic,Oligophotic,eLargest_mean,eLargest_sd,eMedium_mean,eMedium_sd,eSmallest_mean,eSmallest_sd,eSum_mean,eSum_sd,Curvature_mean,Curvature_sd,Omnivariance_mean,Omnivariance_sd,Anisotropy_mean,Anisotropy_sd,Eigentropy_mean,Eigentropy_sd,Linearity_mean,Linearity_sd,Verticality_mean,Verticality_sd,Planarity_mean,Planarity_sd,Sphericity_mean,Sphericity_sd,Nx_mean,Nx_sd,Ny_mean,Ny_sd,Nz_mean,Nz_sd,ChangeCurvature_mean,ChangeCurvature_sd,SurfaceDensity_mean,SurfaceDensity_sd,VolumeDensity_mean,VolumeDensity_sd,MomentOrder1_mean,MomentOrder1_sd,NormalChangeRate_mean,NormalChangeRate_sd,PCA1_mean,PCA1_sd,PCA2_mean,PCA2_sd,Total_PAD_FullROI,Mean_PAD_FullROI,Mean_PropOcc_FullROI,SD_PropOcc_FullROI,Kurt_PropOcc_FullROI,Skew_PropOcc_FullROI,Percent_EmptySpace_FullROI,Total_PAD_RelZ0_0.25,Mean_PAD_RelZ0_0.25,Mean_PropOcc_RelZ0_0.25,SD_PropOcc_RelZ0_0.25,Kurt_PropOcc_RelZ0_0.25,Skew_PropOcc_RelZ0_0.25,Percent_EmptySpace_RelZ0_0.25,Total_PAD_RelZ0.30_0.50,Mean_PAD_RelZ0.30_0.50,Mean_PropOcc_RelZ0.30_0.50,SD_PropOcc_RelZ0.30_0.50,Kurt_PropOcc_RelZ0.30_0.50,Skew_PropOcc_RelZ0.30_0.50,Percent_EmptySpace_RelZ0.30_0.50,Total_PAD_RelZ0.55_1.00,Mean_PAD_RelZ0.55_1.00,Mean_PropOcc_RelZ0.55_1.00,SD_PropOcc_RelZ0.55_1.00,Kurt_PropOcc_RelZ0.55_1.00,Skew_PropOcc_RelZ0.55_1.00,Percent_EmptySpace_RelZ0.55_1.00,Total_PAD_RelZ1.05_2.00,Mean_PAD_RelZ1.05_2.00,Mean_PropOcc_RelZ1.05_2.00,SD_PropOcc_RelZ1.05_2.00,Kurt_PropOcc_RelZ1.05_2.00,Skew_PropOcc_RelZ1.05_2.00,Percent_EmptySpace_RelZ1.05_2.00,X.Occlusion_FullROI,X.Occlusion_RelZ0_0.25,X.Occlusion_RelZ0.30_0.50,X.Occlusion_RelZ0.55_1.00,X.Occlusion_RelZ1.05_2.00
BD,BD_001_0,0,1.96732,0.78132,0.10464,0.10292,0.97844,20581.11085,0.141370007,0.113193709,19.47357431,0.292349727,0.196805387,0.686,0.264915935,0.187382466,0.092238961,1.798194349,52.22190773,0,0.005,0.031,0.053,0.08,0.113,0.155,0.199,0.242,0.28,0.307,0.337,0.36,0.388,0.417,0.449,0.48,0.5168,0.562,15.00313873,25.70621469,34.30634024,43.50282486,56.93659761,71.43753923,83.42749529,92.93785311,98.30508475,15909123,14571,4503.006793,2130.123456,0.708181629,3.241295138,10.36069053,10.19993371,28.0663491,45.27084868,66.33460562,88.95945427,10.38777243,3533,0.250236531,23.322955,9.651853948,7.755448627,8.293235211,12.11435041,13.07670535,10.81234079,8.576280781,4.840079253,1.556750637,46.27795075,41.6360034,12.08604585,0,1.053330533,5.768385761,4.081744708,12.24523412,875,38.49538055,83.57211079,2.212476003,0.239413024,63.06489404,16.4405427,29.36951317,40.46288907,0.000599053,0.000176167,0.000303167,0.000124057,0.000132522,8.46E-05,0.001034742,0.000298953,0.120672978,0.063165096,0.000273155,0.000108942,0.767692514,0.156058169,0.007978014,0.002175661,0.474137538,0.201229357,0.530385521,0.314900027,0.293554975,0.16383526,0.225797438,0.144310049,0.212597237,0.634727908,0.06533654,0.477661939,0.217350403,0.51574777,0.120672978,0.063165096,574.3452767,233.0165334,34460.7166,13980.992,0.01228625,0.005434954,0.293554975,0.16383526,2.65E-20,0.000188654,3.73E-21,0.000120108,0.55463876,1.848795866,0.380737676,0.379066857,1.366592283,0.294582059,34.375,0.254048702,3.387316025,0.80337308,0.185168067,6.483599125,-1.937760263,0,0.165150444,2.642407099,0.645311944,0.25056862,3.088811707,-0.957805256,1.8,0.12885858,1.145409602,0.11190668,0.189518176,5.798544886,1.866470232,54.55555556,0.00446949,0.119186407,0.018292817,0.053153918,12.69388051,3.174166153,82.33333333,38.07376761,80.33730795,64.53119444,11.19066804,1.829281669
BD,BD_001_120,0,0.74796,0,0.10556,0.15744,0.48496,14968.15843,0.067010025,0.027818296,5.309926734,0.111827957,0.120550785,0.461,0.055133102,0.089783105,2.31714607,8.280680189,29.91898148,0,0,0,0,0,0,0.003,0.004,0.008,0.014,0.021,0.029,0.044,0.055,0.06825,0.0906,0.11895,0.1606,0.271,47.92951542,70.22026432,81.14537445,87.2246696,88.98678414,92.7753304,95.4185022,97.18061674,98.50220264,11193400,15981,6477.662037,1945.982229,0.720800581,3.938108264,44.64353101,32.14124395,32.14124395,49.17623778,68.78840209,89.7955849,46.41203704,1728,0.250423131,65.74074074,14.6412037,7.175925926,3.993055556,1.157407407,2.488425926,1.736111111,1.157407407,0.868055556,1.041666667,93.63425926,6.365740741,0,0,0.200504671,2.282890116,1.241697393,2.483394787,319,23.71747212,88.36565097,2.702359467,0.322076229,201.7813266,55.70552147,19.01840491,20.12269939,0.000614953,0.000158544,0.000331211,0.000142415,9.59E-05,7.82E-05,0.001042021,0.00027781,0.088173604,0.064593821,0.000244756,0.000102626,0.83457889,0.14296334,0.007996922,0.001970865,0.454295078,0.213922489,0.300255068,0.339776137,0.380283812,0.202880347,0.163684999,0.138827576,0.09073819,0.497279674,0.036703208,0.371929504,0.571848614,0.525772775,0.088173604,0.064593821,774.0935386,270.09414,46445.61232,16205.6484,0.011375387,0.00555025,0.380283812,0.202880347,5.79E-20,0.000179656,-3.86E-21,0.000118995,0.696837444,2.322791479,0.048363956,0.121474722,19.96693471,3.731781676,71,0.66301617,8.840215593,0.122703088,0.19895181,6.94690224,2.07506209,40.83333333,0.022518782,0.360300504,0.026408765,0.064190149,7.829853064,2.397645831,77,0.011302493,0.100466601,0.022720314,0.061484547,8.81963097,2.62295687,83.22222222,0,0,0.018815426,0.05754258,16.77588021,3.659206216,81.33333333,4.836395588,12.27030881,2.640876504,2.272031352,1.881542639
BD,BD_001_240,0,2.06356,0.02548,0,0.28756,1.75052,12673.13344,0.044554943,0.015343206,3.287939506,0.088888889,0.114517427,0.419,0.035873962,0.079027702,2.998905649,11.60902885,23.01886792,0,0,0,0,0,0,0,0,0.002,0.004,0.004,0.007,0.011,0.02,0.031,0.045,0.058,0.1016,0.2318,62.43169399,81.42076503,82.78688525,85.79234973,90.0273224,91.80327869,93.30601093,95.35519126,98.63387978,6308276,14277,4760.963019,1898.364254,1.092513812,4.678414856,60.45141335,40.56369759,40.56369759,54.66400012,67.91796998,88.85154993,63.69811321,1325,0.249527174,79.16981132,10.49056604,0.754716981,1.660377358,2.339622642,0.981132075,0.830188679,1.132075472,1.811320755,0.830188679,95.32075472,4.679245283,0,0,0.039740081,1.572797912,0.806268996,1.612537993,220,18.73935264,86.95652174,2.877915558,0.347841323,248.4580879,67.10013004,16.90507152,11.70351105,0.000627937,0.000153826,0.000336169,0.000133661,7.22E-05,7.18E-05,0.001036259,0.000255809,0.068326572,0.062407643,0.000213008,9.70E-05,0.874301026,0.135489633,0.007922229,0.001785572,0.456548272,0.199672777,0.192008309,0.299593748,0.417752754,0.2124201,0.122680106,0.126833287,0.073593196,0.386587876,0.047948149,0.316992453,0.689514926,0.514090466,0.068326572,0.062407643,823.6178217,246.4301482,49417.0693,14785.80889,0.011032163,0.005452503,0.417752754,0.2124201,8.19E-20,0.000173542,1.34E-20,0.000107485,0.873141532,1.940314515,0.034588967,0.113085094,31.53614362,4.826464646,82.41666667,0.844003456,11.25337941,0.123470351,0.227182529,7.130861553,2.156696067,52.5,0.007404427,0.148088546,0.025959857,0.06396167,6.655858335,2.312096578,80,0.019407453,0.155259622,0.029799401,0.073651073,7.841952051,2.435554328,81.3,0.000156757,0.000895756,0.002350941,0.019684925,105.4298709,9.732194827,97.28571429,3.458896698,12.34703507,2.59598572,2.979940119,0.235094145
BD,BD_002_0,0,1.24908,0.81572,0.12796,0,0.3054,21465.12484,0.123075524,0.096437354,19.32508596,0.245555556,0.181342671,0.675,0.209367683,0.162458216,0.163106634,1.800616673,50.81066227,0,0,0.004,0.016,0.0415,0.069,0.107,0.144,0.173,0.216,0.246,0.272,0.3,0.33,0.347,0.367,0.393,0.419,0.4671,18.543257,28.88040712,40.42620865,53.24427481,67.52544529,85.20992366,94.84732824,98.82315522,99.77735369,19941456,14732,5479.927453,1844.373843,0.355723744,3.292832686,18.15148302,13.37431931,29.61050587,48.87907884,69.66599129,91.12232828,18.19181094,3639,0.251156755,29.59604287,8.931025007,9.975267931,11.07447101,12.33855455,15.69112394,7.91426216,3.435009618,0.824402308,0.219840616,55.7845562,41.65979665,2.555647156,0,0.039324813,3.616001418,2.236367857,6.709103571,790,36.1887311,88.07134894,2.278804956,0.257612141,83.72394587,23.65957447,28.42553191,38.80851064,0.000615773,0.000159258,0.000331163,0.00012877,0.000129694,8.61E-05,0.00107663,0.000277259,0.11498154,0.064942001,0.000279269,0.000104388,0.780874102,0.150978365,0.008271179,0.002009379,0.450180508,0.202022625,0.460024868,0.342033723,0.330693594,0.183693482,0.217202293,0.147342752,0.067341455,0.44879308,0.126998805,0.607906277,0.352753437,0.531269266,0.11498154,0.064942001,669.9202873,240.4277483,40195.21724,14425.6649,0.011274847,0.005400482,0.330693594,0.183693482,2.98E-20,0.00017338,1.68E-20,0.000118844,1.179805613,3.575168524,0.177143811,0.289229503,4.343182142,1.643654838,48.56060606,0.938384717,11.37436021,0.452048063,0.370126064,1.398108511,0.117294628,14.24242424,0.218604153,3.179696778,0.239295375,0.269822026,3.041015322,1.102742234,15.09090909,0.017077791,0.13800235,0.025469331,0.062144239,7.720470982,2.410374352,78.68686869,0,0,0.020001607,0.06560292,16.01264192,3.650952468,84.09090909,17.71438112,45.20480627,23.92953751,2.546933067,2.00016068
BD,BD_002_120,0,1.2512,0,0.08452,0.11028,1.0564,3431.11347,0.310007923,0.034886254,16.02730878,0.368181818,0.652578769,1.9910001,0.142342044,0.410635599,3.904672441,16.76724376,13.99535424,0,0,0,0,0,0,0.004,0.009,0.01645,0.023,0.03055,0.043,0.053,0.06,0.07675,0.1048,0.131,0.2218,1.685949995,84.97854077,92.44635193,92.44635193,92.61802575,92.61802575,92.61802575,92.61802575,92.61802575,93.9055794,8989865,13448,5220.595238,1750.220924,0.452265172,3.784444147,42.97590676,32.89438718,32.89438718,52.90086114,72.93017192,92.33129752,41.52148664,1722,0.252073264,89.72125436,5.052264808,0,0.116144019,0,0,0,0,0.871080139,4.239256678,91.2311266,3.542392567,0.116144019,5.110336818,0,2.333429217,0.318021576,2.544172604,348,6.711668274,57.80730897,3.601775188,0.16171023,379.1826094,72.53649635,7.162408759,8.71350365,0.000585378,0.000177729,0.000321137,0.000146422,0.000108775,8.20E-05,0.001015291,0.000320097,0.100877716,0.066015436,0.000252417,0.000109819,0.800297534,0.166019765,0.007810815,0.002342335,0.446916912,0.219218646,0.319250429,0.341066818,0.353380622,0.207691603,0.188668784,0.144257146,0.086462362,0.371673898,0.054960119,0.521460729,0.520234641,0.546053469,0.100877716,0.066015436,749.4145996,286.6578727,44964.87598,17199.47236,0.011894996,0.005709645,0.353380622,0.207691603,-4.14E-20,0.000205088,-2.61E-20,0.000110811,0.921456063,1.523067873,0.06361571,0.170767585,16.4322954,3.59477886,71.59090909,0.859697659,9.473252446,0.27100533,0.338163303,2.329376146,0.949075798,22.45179063,0.016933622,0.223915661,0.02713692,0.064925218,7.829416926,2.450580192,71.90082645,0.008530034,0.056396917,0.018607243,0.05524782,13.09717282,3.215537662,85.45454545,0.035465223,0.13026712,0.031892436,0.081747908,9.603111567,2.721058693,79.43067034,6.36157095,27.10053302,2.713692026,1.860724284,3.189243577
BD,BD_002_240,0,1.43496,0,0.04056,0.07172,1.32268,20212.67015,0.031983511,0.015767503,2.547978419,0.048333333,0.065072754,0.227,0.020897237,0.039587925,2.541021139,9.679957826,27.11571675,0,0,0,0,0,0,0,0,0,0,0.004,0.005,0.007,0.013,0.024,0.0376,0.052,0.069,0.108,45.28985507,64.67391304,78.80434783,85.14492754,91.12318841,92.93478261,95.83333333,98.36956522,99.27536232,6584521,15289,5686.114853,1919.856615,1.020732211,4.538067916,63.97466118,47.72919701,47.72919701,47.72919701,66.61538478,87.83635135,68.04835924,1158,0.252382369,73.83419689,9.240069085,6.735751295,3.022452504,2.849740933,0.863557858,1.381692573,1.208981002,0.431778929,0.431778929,100,0,0,0,0.763367073,0.763367073,0.763367073,0.763367073,194,21.72452408,93.26923077,4.119175176,0.428098198,180.0730514,57.11340206,24.32989691,15.67010309,0.000636132,0.000162736,0.000327525,0.000138977,6.98E-05,6.76E-05,0.001033452,0.000257404,0.067187318,0.061093207,0.000206999,9.89E-05,0.878030943,0.128716284,0.007817222,0.001955153,0.47524974,0.204761322,0.185889422,0.299328812,0.402781203,0.211045644,0.119378383,0.120833613,0.095005474,0.380453374,0.017874719,0.306299365,0.741729072,0.446896155,0.067187318,0.061093207,736.9506087,232.7328511,44217.03652,13963.97107,0.010803226,0.005605815,0.402781203,0.211045644,4.51E-20,0.000178654,-7.86E-21,0.00011882,0.521054216,1.736847385,0.040982309,0.109844251,22.3971043,3.905685408,76.75,0.512119654,6.828262047,0.095878104,0.180783884,8.515517359,2.336453499,55.33333333,0.005987636,0.095802179,0.0201215,0.055114026,8.26955533,2.613795837,83.8,0.002946926,0.026194897,0.025157279,0.06586311,9.609976887,2.666897261,82.77777778,0,0,0.014859884,0.04976624,17.17399576,3.754148555,88.66666667,4.098230863,9.587810398,2.012149955,2.515727866,1.485988388
BD,BD_003_0,0,3.86576,0.08844,0.0084,2.19828,1.57064,24454.02281,0.074127748,0.054327025,9.592308766,0.135833333,0.117962986,0.41,0.094561753,0.09403182,0.789390635,2.695543461,44.34262948,0,0,0,0,0.004,0.009,0.022,0.039,0.054,0.075,0.09295,0.109,0.123,0.141,0.159,0.179,0.20265,0.235,0.27355,23.06101344,37.17683557,54.08479835,69.49327818,81.54084798,88.6246122,94.36401241,98.13857291,99.63805584,10303684,14267,4105.053386,1939.428475,1.31706625,5.209053539,30.62856935,22.34908408,30.60846004,50.23980743,68.40474727,86.87139474,30.75697211,2510,0.250345363,41.03585657,10.71713147,13.26693227,11.67330677,9.043824701,5.657370518,4.302788845,2.828685259,1.155378486,0.3187251,92.35059761,7.64940239,0,0,0.21065809,4.214168496,2.212413293,4.424826586,533,36.96255201,94.6714032,3.005036696,0.319967124,105.2506628,21.03786816,30.1542777,44.6002805,0.000619015,0.000157282,0.000325776,0.000129819,0.000120167,8.67E-05,0.001064959,0.000279107,0.106395236,0.065467363,0.000268143,0.000107415,0.798762811,0.150843881,0.008178951,0.002011604,0.462984369,0.20280153,0.380432369,0.334986158,0.335778443,0.185596508,0.198448344,0.145186175,0.112071299,0.421956809,0.137458117,0.542817649,0.46127285,0.529703094,0.106395236,0.065467363,694.4735453,246.2080997,41668.41272,14772.48598,0.011447832,0.005335612,0.335778443,0.185596508,7.70E-21,0.000173634,4.16E-20,0.000116441,0.657987138,2.288650916,0.080058122,0.167133484,10.26134582,2.653741618,65,0.63759012,8.501201599,0.244253226,0.246018919,2.962087228,0.938028926,15.66666667,0.00884356,0.141496965,0.016020801,0.049598608,12.0782768,3.227504522,80.2,0.008655798,0.069246386,0.027126068,0.066161096,7.621910927,2.359736037,82.3,0.00289766,0.115906393,0.012226387,0.045709703,21.34414023,4.272196184,88.5,8.005812229,24.42532256,1.602080112,2.712606799,1.222638688
BD,BD_003_120,0,0.54372,0,0.04284,0.10892,0.39196,14823.94184,0.098789871,0.046059643,7.719461063,0.130088496,0.127394884,0.586,0.078440934,0.081970975,1.239146164,5.235720981,41.43772894,0,0,0,0,0,0.009,0.023,0.032,0.04435,0.055,0.06965,0.0828,0.098,0.112,0.132,0.15,0.171,0.1987,0.22585,33.91630231,60.77451593,81.07432854,94.56589631,98.43847595,99.12554653,99.62523423,99.81261711,99.87507808,10445503,15514,4782.739469,2050.099044,1.106247587,4.59650184,27.00853181,24.3288619,27.47124767,46.45380888,65.69761169,88.04699017,29.57875458,2184,0.251415075,51.51098901,19.68864469,14.88095238,9.89010989,2.838827839,0.503663004,0.366300366,0.137362637,0.045787546,0.137362637,97.11538462,2.701465201,0.183150183,0,0.002994572,4.619867119,1.561499584,4.684498753,456,24.74226804,91.93548387,2.552376154,0.295466074,166.3940522,45.31422271,21.38919515,28.88643881,0.000617463,0.000152735,0.000336484,0.000125886,0.000146517,9.50E-05,0.001100463,0.000282079,0.124709603,0.069154945,0.000292573,0.000115165,0.753264797,0.167809539,0.00842702,0.002119863,0.440112912,0.201595988,0.44509907,0.352742764,0.313151884,0.17093886,0.241698573,0.159944651,0.190774728,0.57846902,0.061433256,0.439500494,0.366573251,0.541301312,0.124709603,0.069154945,678.6530009,234.6614944,40719.18006,14079.68966,0.011359837,0.005085431,0.313151884,0.17093886,1.58E-21,0.000169806,3.91E-21,0.000120812,0.546237822,1.820792741,0.105823239,0.23003909,8.289335657,2.481409492,66.29166667,0.524544437,6.993925828,0.356813372,0.338231318,1.826540815,0.549834354,11.83333333,0.012453207,0.19925131,0.024017389,0.061477518,8.553273571,2.630189951,77.6,0.009240178,0.082134919,0.020210531,0.064915017,12.92960275,3.246157715,87.88888889,0,0,0.020655809,0.067965679,14.0758181,3.473501191,86.33333333,10.58232385,35.68133719,2.401738884,2.021053088,2.06558094
BD,BD_004_0,0,0.48496,0.00484,0.13328,0.0176,0.32924,20787.56598,0.079095196,0.054149983,9.07195235,0.135294118,0.122535526,0.474,0.088945366,0.086457398,1.023965448,3.746404325,42.37150951,0,0,0,0,0.013,0.025,0.033,0.044,0.054,0.063,0.077,0.097,0.1115,0.129,0.146,0.162,0.185,0.209,0.253,25.09053285,48.16347646,66.83911019,81.8934299,91.82617693,96.22348681,98.60320745,99.53440248,99.68960166,13014942,13478,5267.074868,1662.341083,0.784406893,3.669554174,22.50644682,20.47936902,29.51227904,49.77388297,69.73295002,89.86099208,23.75556455,2471,0.250778767,41.35977337,18.04937272,14.60946985,11.77660866,7.770133549,3.439902873,1.861594496,0.72845002,0.121408337,0.283286119,94.77944152,5.220558478,0,0,0.188030893,5.450343263,2.819187078,5.638374156,524,38.52941176,92.74336283,2.782084511,0.315799655,125.2588752,40.52631579,22.52631579,32.63157895,0.000602316,0.00015603,0.000340943,0.000122849,0.00016578,9.64E-05,0.001109038,0.000295148,0.141048865,0.065097031,0.000310065,0.000110983,0.718816743,0.163766198,0.008541447,0.002131433,0.420881959,0.190986507,0.476300731,0.335413987,0.297934784,0.160645095,0.277541007,0.158781234,0.234534524,0.591690134,0.097615736,0.445950375,0.345543099,0.513597514,0.141048865,0.065097031,690.8651358,241.2631151,41451.90815,14475.78691,0.011391925,0.005190591,0.297934784,0.160645095,-1.53E-20,0.000176895,-1.37E-20,0.000115727,0.666174903,1.937963354,0.096290541,0.212441406,9.854962672,2.705076596,65.30909091,0.637530762,7.727645605,0.336948471,0.317208325,2.225922864,0.733210927,8.03030303,0.014432913,0.209933279,0.025615212,0.062655358,6.913207969,2.332923034,76.90909091,0.014211228,0.103354383,0.018813242,0.056783598,13.6949324,3.26067366,85.27272727,0,0,0.014974485,0.054561029,20.39344876,4.204526577,86.66666667,9.629054073,33.69484711,2.561521222,1.881324248,1.497448544
BD,BD_004_120,0,1.36884,0.04444,0,0.2334,1.091,4287.402881,0.193053493,0.033915124,11.60733082,0.239423077,0.437871788,1.744,0.100077707,0.273778041,5.048835347,28.53922322,23.41907824,0,0,0,0,0,0,0.003,0.004,0.009,0.021,0.032,0.051,0.061,0.073,0.091,0.116,0.147,0.192,0.283,83.34648777,94.94869771,95.89581689,95.89581689,95.89581689,95.89581689,95.89581689,95.89581689,97.00078927,8138364,14417,4361.395498,1758.360881,1.142205646,5.189429707,46.7402908,30.166026,30.166026,48.9838744,70.75064472,90.74881635,48.33869239,1866,0.249557636,88.63879957,7.877813505,0.643086817,0,0,0,0,0,0.750267953,2.090032154,93.78349411,3.376205788,0,2.840300107,0,1.888692851,0.283267454,1.982872179,400,8.863283847,72.20216606,3.374455946,0.176494812,318.1318978,81.08569478,5.735745988,7.920792079,0.000619889,0.000163276,0.00033419,0.000132303,0.000101376,8.53E-05,0.001055455,0.000283719,0.090491751,0.067448727,0.000248251,0.000108905,0.828631521,0.153243008,0.008082107,0.002047182,0.452937741,0.196822303,0.313562544,0.341977996,0.375693779,0.200642998,0.16761714,0.144922049,0.080491447,0.498701224,0.061546171,0.391360434,0.551569133,0.52938927,0.090491751,0.067448727,725.2552584,281.1636756,43515.3155,16869.82054,0.011070421,0.005595253,0.375693779,0.200642998,4.79E-20,0.000182126,9.12E-21,0.000109782,0.855103679,2.736331772,0.059824088,0.183190671,18.75215261,3.975613045,73.88,0.839756577,11.19675436,0.2128472,0.321321063,3.909223241,1.542466521,28.83333333,0.006358294,0.127165884,0.008415272,0.03317087,17.28917534,3.987477515,89.5,0.004711462,0.041879659,0.009469342,0.037943128,18.6329125,4.106922482,90.55555556,0,0,0.01950655,0.063565801,13.66907587,3.41822114,85.33333333,5.982408842,21.28472002,0.841527159,0.946934168,1.950654991
