"Term","coefficient","Dataset","Repeat","Fold"
"lad_max",0.755482542541751,"Total surface fuels",1,1
"Ny_mean",1.81462362818005,"Total surface fuels",1,1
"Linearity_mean",0.924940257453103,"Total surface fuels",1,1
"Percent.Below.20th.Quantile",1.08484752290764,"Total surface fuels",1,1
"Total_PAD_RelZ0.55_1.00",1.27169068533222,"Total surface fuels",1,1
"Verticality_mean",-2.74368153224726,"Total surface fuels",1,1
"lad_max",1.52951533349302,"Total surface fuels",1,2
"Ny_mean",2.35847173528491,"Total surface fuels",1,2
"Percent.Below.30th.Quantile",2.69997456729543,"Total surface fuels",1,2
"Linearity_mean",1.4928142894173,"Total surface fuels",1,2
"Verticality_mean",-3.68237499503044,"Total surface fuels",1,2
"lad_max",0.8976382238759,"Total surface fuels",1,3
"Percent.Below.40th.Quantile",0.972335809896969,"Total surface fuels",1,3
"Ny_mean",2.44568180284624,"Total surface fuels",1,4
"Percent.Below.30th.Quantile",2.30998430410736,"Total surface fuels",1,4
"Linearity_mean",1.8828079737087,"Total surface fuels",1,4
"Verticality_mean",-3.00127980590999,"Total surface fuels",1,4
"Ny_mean",1.90764858590656,"Total surface fuels",1,5
"Percent.Below.30th.Quantile",1.22918316043997,"Total surface fuels",1,5
"lad_mean",1.34117444310078,"Total surface fuels",1,5
"Nz_mean",1.72194668066801,"Total surface fuels",1,5
"lad_max",2.43708378344844,"Total surface fuels",2,1
"lad_max",0.981984522387143,"Total surface fuels",2,2
"Percent.Below.30th.Quantile",1.36347546483989,"Total surface fuels",2,2
"Linearity_mean",1.22883533739105,"Total surface fuels",2,2
"Ny_mean",1.542535706406,"Total surface fuels",2,3
"Linearity_mean",0.902280096626546,"Total surface fuels",2,3
"Percent.Below.20th.Quantile",1.37262493084089,"Total surface fuels",2,3
"Total_PAD_RelZ0.55_1.00",0.900107625215953,"Total surface fuels",2,3
"Verticality_mean",-2.70215678363488,"Total surface fuels",2,3
"Total_PAD_RelZ0.30_0.50",0.907562958907901,"Total surface fuels",2,3
"lad_max",0.944083883171831,"Total surface fuels",2,4
"Ny_mean",2.46619074634771,"Total surface fuels",2,4
"Percent.Below.30th.Quantile",2.31570956852268,"Total surface fuels",2,4
"Linearity_mean",1.46713714869697,"Total surface fuels",2,4
"Verticality_mean",-3.31457195067014,"Total surface fuels",2,4
"Ny_mean",2.70237974830744,"Total surface fuels",2,5
"Percent.Below.30th.Quantile",2.53552300554986,"Total surface fuels",2,5
"Linearity_mean",1.80147480549302,"Total surface fuels",2,5
"Verticality_mean",-3.4823451333968,"Total surface fuels",2,5
"Ny_mean",2.00018857377374,"Total surface fuels",3,1
"Percent.Below.30th.Quantile",1.49280216277752,"Total surface fuels",3,1
"Nz_mean",1.2720298685641,"Total surface fuels",3,1
"lad_max",2.01269874896059,"Total surface fuels",3,2
"lad_max",1.94160660220093,"Total surface fuels",3,3
"Ny_mean",2.94865086388159,"Total surface fuels",3,3
"Percent.Below.30th.Quantile",2.02962315280695,"Total surface fuels",3,3
"Linearity_mean",1.59268021967861,"Total surface fuels",3,3
"Verticality_mean",-4.08635965710195,"Total surface fuels",3,3
"lad_max",1.17958760168423,"Total surface fuels",3,4
"Ny_mean",2.79548789758217,"Total surface fuels",3,4
"Percent.Below.30th.Quantile",2.02736359466592,"Total surface fuels",3,4
"Verticality_mean",-3.03438278300116,"Total surface fuels",3,4
"eSum_mean",-2.2464832160224,"Total surface fuels",3,5
"PCA1_sd",-1.64189857462015,"Total surface fuels",3,5
"Total_PAD_RelZ0.30_0.50",1.13380724018735,"Total surface fuels",3,5
"lad_max",0.700025431796722,"Total surface fuels",4,1
"Ny_mean",1.531266590448,"Total surface fuels",4,1
"Linearity_mean",1.31119652083182,"Total surface fuels",4,1
"Nz_mean",2.77127093875824,"Total surface fuels",4,1
"Percent.Below.20th.Quantile",1.26389906231206,"Total surface fuels",4,1
"Total_PAD_RelZ0.55_1.00",0.913949655932036,"Total surface fuels",4,1
"Total_PAD_RelZ0.30_0.50",0.916739705004376,"Total surface fuels",4,1
"Percent.Below.40th.Quantile",1.27300122880917,"Total surface fuels",4,2
"Ny_mean",2.71582515005342,"Total surface fuels",4,3
"Percent.Below.30th.Quantile",2.32429994651999,"Total surface fuels",4,3
"Linearity_mean",1.53826615362622,"Total surface fuels",4,3
"Verticality_mean",-3.27249416355245,"Total surface fuels",4,3
"lad_max",2.20129414034077,"Total surface fuels",4,4
"Percent.Below.30th.Quantile",1.05159833306122,"Total surface fuels",4,4
"Linearity_mean",0.521052806703131,"Total surface fuels",4,4
"lad_max",1.58882357121613,"Total surface fuels",4,5
"Ny_mean",1.68703962012441,"Total surface fuels",4,5
"Percent.Below.30th.Quantile",1.37665335695223,"Total surface fuels",4,5
"Nz_mean",1.6840831388392,"Total surface fuels",4,5
"lad_max",6.4416528183714,"Total surface fuels",5,1
"Ny_mean",2.59756274211068,"Total surface fuels",5,1
"Percent.Below.30th.Quantile",1.35911734558,"Total surface fuels",5,1
"Linearity_mean",1.84522783067952,"Total surface fuels",5,1
"Mean_PropOcc_RelZ0_0.25",-1.39472913137887,"Total surface fuels",5,1
"Verticality_mean",-3.8809711591361,"Total surface fuels",5,1
"Linearity_mean",0.938938430733314,"Total surface fuels",5,2
"Total_PAD_RelZ0.30_0.50",0.890055970341473,"Total surface fuels",5,2
"Ny_mean",2.64441364215418,"Total surface fuels",5,3
"Percent.Below.30th.Quantile",2.41082260449012,"Total surface fuels",5,3
"Linearity_mean",1.54345812354669,"Total surface fuels",5,3
