"Predictor","Coefficient","AbsCoef","Dataset","Repeat","Fold"
"Linearity_mean",0.250178545170327,0.250178545170327,"Total surface fuels",1,1
"Total_PAD_RelZ0.55_1.00",0.245073596190195,0.245073596190195,"Total surface fuels",1,1
"Total_PAD_RelZ0.30_0.50",0.231646756833469,0.231646756833469,"Total surface fuels",1,1
"Ny_mean",0.175208254515067,0.175208254515067,"Total surface fuels",1,1
"lad_max",0.133170664174441,0.133170664174441,"Total surface fuels",1,1
"SD_PropOcc_RelZ0.55_1.00",0.0565198055095358,0.0565198055095358,"Total surface fuels",1,1
"Mean_PAD_RelZ0.30_0.50",0.0539020309077103,0.0539020309077103,"Total surface fuels",1,1
"PCA2_sd",-0.0282704429504046,0.0282704429504046,"Total surface fuels",1,1
"Anisotropy_sd",-0.0246980361159797,0.0246980361159797,"Total surface fuels",1,1
"Mean_PAD_RelZ0.55_1.00",0.0056318404731919,0.0056318404731919,"Total surface fuels",1,1
"Percent.Below.30th.Quantile",0.0267102052566541,0.0267102052566541,"Total surface fuels",1,2
"lad_max",0.0260749003291686,0.0260749003291686,"Total surface fuels",1,2
"Ny_mean",0.023470338619862,0.023470338619862,"Total surface fuels",1,2
"lad_mean",0.0226292079920258,0.0226292079920258,"Total surface fuels",1,2
"Percent.Below.40th.Quantile",0.0219438936736188,0.0219438936736188,"Total surface fuels",1,2
"lad_sum",0.0208924155779838,0.0208924155779838,"Total surface fuels",1,2
"Percent.Below.20th.Quantile",0.0168213125867508,0.0168213125867508,"Total surface fuels",1,2
"Percent.Below.10th.Quantile",-0.0161593959512547,0.0161593959512547,"Total surface fuels",1,2
"zpcum1",-0.0153460917273678,0.0153460917273678,"Total surface fuels",1,2
"PCA2_mean",0.0148715019328861,0.0148715019328861,"Total surface fuels",1,2
"lad_max",0.0189662253332426,0.0189662253332426,"Total surface fuels",1,3
"Percent.Below.40th.Quantile",0.0175201352899723,0.0175201352899723,"Total surface fuels",1,3
"lad_sum",0.0171339924254938,0.0171339924254938,"Total surface fuels",1,3
"Percent.Below.30th.Quantile",0.0153429845106466,0.0153429845106466,"Total surface fuels",1,3
"lad_mean",0.0148226197169643,0.0148226197169643,"Total surface fuels",1,3
