"Predictor","Importance","Dataset","Repeat","Fold"
"lad_sum",84.6225045383488,"Total surface fuels",1,1
"Percent.Below.30th.Quantile",79.5293516731487,"Total surface fuels",1,1
"Ny_mean",65.2339028224956,"Total surface fuels",1,1
"Anisotropy_sd",61.4469692989588,"Total surface fuels",1,1
"lad_mean",52.5637849484944,"Total surface fuels",1,1
"zq60",47.9546028229231,"Total surface fuels",1,1
"zq45",46.4429691528377,"Total surface fuels",1,1
"vn",33.4228457115811,"Total surface fuels",1,1
"zq30",32.921477482587,"Total surface fuels",1,1
"PC_Strata_0.00.0.25",31.7773447230752,"Total surface fuels",1,1
"Percent.Below.30th.Quantile",1512.29066301864,"Total surface fuels",1,2
"Percent.Below.40th.Quantile",622.58851333757,"Total surface fuels",1,2
"lad_sum",254.732291398774,"Total surface fuels",1,2
"lad_mean",203.309114548883,"Total surface fuels",1,2
"Ny_mean",112.170425934472,"Total surface fuels",1,2
"Total_PAD_RelZ1.05_2.00",65.2635347847273,"Total surface fuels",1,2
"mean_vox_ht",17.2930428874922,"Total surface fuels",1,2
"Percent.Below.10th.Quantile",13.6393979373169,"Total surface fuels",1,2
"ipcumzq10",11.9285887516873,"Total surface fuels",1,2
"zpcum1",11.2030658222661,"Total surface fuels",1,2
"Percent.Below.40th.Quantile",1109.22590703536,"Total surface fuels",1,3
"Percent.Below.30th.Quantile",886.630464912437,"Total surface fuels",1,3
"lad_sum",53.2116331938656,"Total surface fuels",1,3
"Ny_mean",42.3381575200786,"Total surface fuels",1,3
"Total_PAD_RelZ1.05_2.00",40.6664514826264,"Total surface fuels",1,3
"mean_vox_ht",28.8846057250307,"Total surface fuels",1,3
"zq65",22.1251393303309,"Total surface fuels",1,3
"Alpha_Vol_m3",14.0643095600256,"Total surface fuels",1,3
"Anisotropy_sd",13.5815584197475,"Total surface fuels",1,3
"vn",12.3655290570733,"Total surface fuels",1,3
"Percent.Below.30th.Quantile",2224.46966527521,"Total surface fuels",1,4
"Percent.Below.40th.Quantile",407.025269366755,"Total surface fuels",1,4
"lad_sum",77.2039800111948,"Total surface fuels",1,4
"Ny_mean",58.0889214203686,"Total surface fuels",1,4
"zpcum1",28.7467416617252,"Total surface fuels",1,4
"mean_vox_ht",27.9346070969477,"Total surface fuels",1,4
"Alpha_Vol_m3",26.1981851102329,"Total surface fuels",1,4
"Total_PAD_RelZ1.05_2.00",25.5246004990876,"Total surface fuels",1,4
"lad_mean",23.1393139666981,"Total surface fuels",1,4
"zq50",17.7674548958434,"Total surface fuels",1,4
"Percent.Below.30th.Quantile",303.208633843684,"Total surface fuels",1,5
"Percent.Below.40th.Quantile",299.352832870558,"Total surface fuels",1,5
